Sport,all_count,age_all_std,age_all_mean,height_all_count,height_all_std,height_all_mean,weight_all_count,weight_all_std,weight_all_mean,weight_met_all_std,weight_met_all_mean,height_met_all_std,height_met_all_mean,weight_emp_all_std,weight_emp_all_mean,height_emp_all_std,height_emp_all_mean,winner_count,age_winner_mean,age_winner_std,height_winner_count,height_winner_mean,height_winner_std,weight_winner_count,weight_winner_mean,weight_winner_std,weight_met_winner_mean,weight_met_winner_std,height_met_winner_mean,height_met_winner_std,weight_emp_winner_mean,weight_emp_winner_std,height_emp_winner_mean,height_emp_winner_std,pct_athletes_winners,pct_total_medals,weight_winner_z_score,age_winner_z_score,height_winner_z_score
Canoeing,5550.0,4.478488854130431,25.410990990990992,5550.0,8.18684371504843,178.55207207207206,5550.0,9.849595644561122,76.49207207207208,9.849595644561122,76.49207207207208,8.18684371504843,178.55207207207206,21.714641373582168,168.63615247844425,3.2231685574582833,70.29612932684792,1041.0,25.866474543707973,4.253781119099467,1041.0,179.5196926032661,8.148846443942531,1041.0,78.02785782901057,10.168375377145411,78.02785782901057,10.168375377145411,179.5196926032661,8.148846443942531,172.02198050043097,22.417430383408885,70.67708249759859,3.208208993826616,0.18756756756756757,0.034539964829622745,0.0,0.0,0.0
Cross Country Skiing,7529.0,4.270675977427133,26.088723602071987,7529.0,8.22986168668765,173.2637800504715,7529.0,9.112955096090134,65.88046221277726,9.112955096090134,65.88046221277726,8.22986168668765,173.2637800504715,20.090626956287903,145.24155732892746,3.2401047759106207,68.21412346965201,687.0,27.685589519650655,3.9634053694777984,687.0,173.31149927219795,9.058229120766367,687.0,65.82314410480349,9.874892478931464,65.82314410480349,9.874892478931464,173.31149927219795,9.058229120766367,145.11519253145127,21.770411346894985,68.23291057496371,3.566233863074837,0.0912471775800239,0.022794386011480143,0.0,0.0,0.0
Curling,410.0,6.801472445843628,31.13658536585366,410.0,8.614451354501115,174.16829268292682,410.0,12.273063494600235,72.13170731707316,12.273063494600235,72.13170731707316,8.614451354501115,174.16829268292682,27.05747341898347,159.02319370027607,3.3915181127184444,68.57023099756108,131.0,32.13740458015267,6.202683487229383,131.0,174.26717557251908,8.360920475163846,131.0,73.38931297709924,11.756878522860216,73.38931297709924,11.756878522860216,174.26717557251908,8.360920475163846,161.79573958767335,25.919480353252197,68.60916129007634,3.291702751992482,0.3195121951219512,0.004346527754736388,0.0,0.0,0.0
Cycling,7775.0,4.4877737186349655,25.10379421221865,7775.0,7.723166596016821,176.19408360128617,7775.0,9.165964500279605,70.11176848874598,9.165964500279605,70.11176848874598,7.723166596016821,176.19408360128617,20.207492687932184,154.56999086469241,3.04061841201842,69.36778690791117,845.0,25.244970414201184,4.489362245350304,845.0,177.86153846153846,7.259476565152629,845.0,73.16923076923077,9.37431198107272,73.16923076923077,9.37431198107272,177.86153846153846,7.259476565152629,161.31054137355056,20.666820257283693,70.02426555384612,2.858063183177149,0.10868167202572347,0.028036762998108762,0.0,0.0,0.0
Diving,2011.0,4.12570986011207,22.252113376429637,2011.0,7.879189311167848,166.6618597712581,2011.0,9.341177059573075,60.56961710591745,9.341177059573075,60.56961710591745,7.879189311167848,166.6618597712581,20.593770259774,133.53314806546973,3.102044710996095,65.61494085380433,318.0,22.468553459119498,4.279356040543808,318.0,165.874213836478,8.069291509688153,318.0,58.69496855345912,9.736498692103972,58.69496855345912,9.736498692103972,165.874213836478,8.069291509688153,129.40025545879558,21.465305273738544,65.30484386163522,3.1768881366557356,0.1581302834410741,0.010551113175619629,0.0,0.0,0.0
Equestrianism,4553.0,8.604414814299428,34.11794421260707,4553.0,7.656166199365307,174.397100812651,4553.0,8.565732322506685,67.80397540083462,8.565732322506685,67.80397540083462,7.656166199365307,174.397100812651,18.8842072504817,149.48217801665066,3.014240288856313,68.66031298704151,663.0,35.31523378582202,8.345731414202769,663.0,175.44645550527903,7.538606493958371,663.0,68.28355957767722,8.471980724771585,68.28355957767722,8.471980724771585,175.44645550527903,7.538606493958371,150.53948014197516,18.67752035728501,69.07344497888383,2.9679569152779055,0.14561827366571492,0.02199807558313149,0.0,0.0,0.0
Fencing,6537.0,5.3335119122960855,26.913721890775584,6537.0,8.489238277541933,177.29554841670492,6537.0,9.987401815020217,71.38848095456632,9.987401815020217,71.38848095456632,8.489238277541933,177.29554841670492,22.01845197439999,157.38466004837423,3.342221599106544,69.80143470720667,1109.0,27.153291253381425,5.035070192897553,1109.0,178.02524797114518,8.217776642094698,1109.0,72.14066726780884,10.169682056404667,72.14066726780884,10.169682056404667,178.02524797114518,8.217776642094698,159.042947010358,22.420311118063264,70.08871815148787,3.2353468817693245,0.16964968640048952,0.03679617770994393,0.0,0.0,0.0
Figure Skating,1512.0,4.412780172664566,22.21494708994709,1512.0,10.009245159083072,168.14880952380952,1512.0,11.72729847331473,59.54365079365079,11.72729847331473,59.54365079365079,10.009245159083072,168.14880952380952,25.854267506870247,131.27127952424206,3.940649828376162,66.20035445833331,249.0,24.140562248995984,4.620291989658027,249.0,168.4738955823293,10.105507984168101,249.0,60.23694779116466,12.320488456540476,60.23694779116466,12.320488456540476,168.4738955823293,10.105507984168101,132.79973776858702,27.162027562914897,66.32834116465857,3.978548598874966,0.16468253968253968,0.008261720694117257,0.0,0.0,0.0
Football,4443.0,3.5013105303119563,23.578663065496286,4443.0,7.907598801814004,175.43641683547153,4443.0,8.447103080069375,70.47614224623003,8.447103080069375,70.47614224623003,7.907598801814004,175.43641683547153,18.62267453899739,155.37329749323328,3.113229555872972,69.06949274454172,1084.0,24.22140221402214,3.6320700746769075,1084.0,175.4760147601476,7.399456967907258,1084.0,70.73616236162361,8.322368174768705,70.73616236162361,8.322368174768705,175.4760147601476,7.399456967907258,155.9465437217529,18.347681145043456,69.0850824870849,2.913173607722054,0.24397929327031284,0.03596668768041408,0.0,0.0,0.0
Freestyle Skiing,913.0,4.6200285001680115,24.41949616648412,913.0,8.479904401306138,170.9408543263965,913.0,11.107039639465617,67.02683461117196,11.107039639465617,67.02683461117196,8.479904401306138,170.9408543263965,24.486830850395204,147.7688758514366,3.338546842698618,67.29958528915668,102.0,24.931372549019606,3.7051203636775396,102.0,170.72549019607843,8.520397032938831,102.0,67.36274509803921,11.446422084146691,67.36274509803921,11.446422084146691,170.72549019607843,8.520397032938831,148.5094317096844,25.2350410653809,67.21479621568629,3.35448883226505,0.11171960569550932,0.0033843193204817676,0.0,0.0,0.0
